2017-06-08 15:12:38,101 INFO  [org.springframework.web.context.ContextLoader] - Root WebApplicationContext: initialization started
2017-06-08 15:12:38,186 INFO  [org.springframework.web.context.support.XmlWebApplicationContext] - Refreshing Root WebApplicationContext: startup date [Thu Jun 08 15:12:38 CST 2017]; root of context hierarchy
2017-06-08 15:12:38,226 INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from file [E:\git\studio-parent\studio-console\target\classes\spring\applicationContext-dao.xml]
2017-06-08 15:12:38,305 INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from file [E:\git\studio-parent\studio-console\target\classes\spring\applicationContext-service.xml]
2017-06-08 15:12:38,340 INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from file [E:\git\studio-parent\studio-console\target\classes\spring\applicationContext-trans.xml]
2017-06-08 15:12:38,594 INFO  [org.springframework.context.support.PropertySourcesPlaceholderConfigurer] - Loading properties file from file [E:\git\studio-parent\studio-console\target\classes\resource\db.properties]
2017-06-08 15:12:38,600 INFO  [org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-06-08 15:12:39,362 INFO  [org.springframework.web.context.ContextLoader] - Root WebApplicationContext: initialization completed in 1259 ms
2017-06-08 15:12:39,396 INFO  [org.springframework.web.servlet.DispatcherServlet] - FrameworkServlet 'studio-console': initialization started
2017-06-08 15:12:39,398 INFO  [org.springframework.web.context.support.XmlWebApplicationContext] - Refreshing WebApplicationContext for namespace 'studio-console-servlet': startup date [Thu Jun 08 15:12:39 CST 2017]; parent: Root WebApplicationContext
2017-06-08 15:12:39,399 INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [spring/springmvc.xml]
2017-06-08 15:12:39,586 INFO  [org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-06-08 15:12:39,694 INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping] - Mapped "{[/],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.free.studio.controller.login.system.IndexController.index()
2017-06-08 15:12:39,694 INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping] - Mapped "{[/login/system/comon/welcome.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.free.studio.controller.login.system.IndexController.welcome()
2017-06-08 15:12:39,695 INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping] - Mapped "{[/login/system/common/menu.html],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.free.studio.controller.login.system.IndexController.getMenu()
2017-06-08 15:12:39,974 INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] - Looking for @ControllerAdvice: WebApplicationContext for namespace 'studio-console-servlet': startup date [Thu Jun 08 15:12:39 CST 2017]; parent: Root WebApplicationContext
2017-06-08 15:12:40,028 INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] - Looking for @ControllerAdvice: WebApplicationContext for namespace 'studio-console-servlet': startup date [Thu Jun 08 15:12:39 CST 2017]; parent: Root WebApplicationContext
2017-06-08 15:12:40,113 INFO  [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping] - Mapped URL path [/css/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-06-08 15:12:40,114 INFO  [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping] - Mapped URL path [/js/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#1'
2017-06-08 15:12:40,115 INFO  [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping] - Mapped URL path [/images/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#2'
2017-06-08 15:12:40,117 INFO  [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping] - Mapped URL path [/zui/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#3'
2017-06-08 15:12:40,156 INFO  [org.springframework.web.servlet.DispatcherServlet] - FrameworkServlet 'studio-console': initialization completed in 759 ms
2017-06-08 15:17:46,333 WARN  [org.springframework.web.servlet.PageNotFound] - No mapping found for HTTP request with URI [/login/system/comon/css/common/welcome.css] in DispatcherServlet with name 'studio-console'
2017-06-08 15:17:46,333 WARN  [org.springframework.web.servlet.PageNotFound] - No mapping found for HTTP request with URI [/login/system/comon/js/common/welcome.js] in DispatcherServlet with name 'studio-console'
2017-06-08 15:18:09,747 WARN  [org.springframework.web.servlet.PageNotFound] - No mapping found for HTTP request with URI [/login/system/comon/css/common/welcome.css] in DispatcherServlet with name 'studio-console'
2017-06-08 15:18:09,747 WARN  [org.springframework.web.servlet.PageNotFound] - No mapping found for HTTP request with URI [/login/system/comon/js/common/welcome.js] in DispatcherServlet with name 'studio-console'
2017-06-08 15:26:20,401 WARN  [org.springframework.web.servlet.PageNotFound] - No mapping found for HTTP request with URI [/javascript;] in DispatcherServlet with name 'studio-console'
